name,time,air_Pressure_mH2O,air_Temp_float,batt,channel_rssi,data_rate_index,dev_id,device_id,dist,forwarder_gateway_id,recieved_time,rssi,snr,spreading_factor,timestamp,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu-v3,1.63116E+18,10.29844856,19.65650558,3.883,-123,0,puhatu-c2v3,,29.8,eui-b827ebfffed73719,2021-09-09T05:12:41.046802853Z,-123,-13.8,12,,-1,0,-11.29844856
puhatu-v3,1.63302E+18,10.4826231,7.863377571,4.046,-121,,puhatu-c2v3,,66.6,eui-b827ebfffed73719,2021-09-30T15:29:49.754043790Z,-121,-15,12,,-4,0,-14.4826231
puhatu-v3,1.63303E+18,-1,0,4.041,-120,,puhatu-c2v3,,30.2,eui-b827ebfffed73719,2021-09-30T20:07:52.877935845Z,-120,-15.2,12,,-1,0,0
puhatu-v3,1.63305E+18,-1,0,4.038,-120,,puhatu-c2v3,,66.4,eui-b827ebfffed73719,2021-10-01T02:18:15.303702167Z,-120,-9.5,12,,-1,0,0
puhatu-v3,1.63309E+18,-1,0,3.681,-124,,puhatu-c2v3,,31,eui-b827ebfffed73719,2021-10-01T12:23:09.339029583Z,-124,-14.8,12,,-1,0,0
puhatu-v3,1.63309E+18,-1,0,3.689,-121,,puhatu-c2v3,,30.2,eui-b827ebfffed73719,2021-10-01T12:34:19.359354050Z,-121,-9.8,12,,-1,0,0
puhatu-v3,1.63309E+18,-1,0,3.708,-121,,puhatu-c2v3,,66.7,eui-b827ebfffed73719,2021-10-01T12:45:34.261908440Z,-121,-12,12,,-1,0,0
puhatu-v3,1.63312E+18,-1,0,4.025,-121,,puhatu-c2v3,,66.4,eui-b827ebfffed73719,2021-10-01T19:06:04.249503395Z,-121,-12.2,12,,-1,0,0
puhatu-v3,1.63316E+18,10.46438694,18.39398384,3.982,-121,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-10-02T07:47:23.793066383Z,-121,-12,12,,-1,0,-11.46438694
puhatu-v3,1.63318E+18,10.44695759,15.31959915,3.791,-121,,puhatu-c2v3,,66.6,eui-b827ebfffed73719,2021-10-02T14:06:41.946866336Z,-121,-16.2,12,,-4,0,-14.44695759
puhatu-v3,1.63322E+18,-1,0,4.081,-124,,puhatu-c2v3,,30.8,eui-b827ebfffed73719,2021-10-03T00:24:26.186550746Z,-124,-12.8,12,,-1,0,0
puhatu-v3,1.63325E+18,-1,0,4.653,-121,,puhatu-c2v3,,30.6,eui-b827ebfffed73719,2021-10-03T08:41:13.944995639Z,-121,-13.8,12,,-1,0,0
puhatu-v3,1.63328E+18,-1,0,4.082,-121,,puhatu-c2v3,,67.3,eui-b827ebfffed73719,2021-10-03T16:55:11.902047545Z,-121,-13,12,,-1,0,0
puhatu-v3,1.63337E+18,-1,0,4.067,-121,,puhatu-c2v3,,67.1,eui-b827ebfffed73719,2021-10-04T16:51:04.254244423Z,-121,-11,12,,-1,0,0
puhatu-v3,1.63348E+18,-1,0,4.041,-121,,puhatu-c2v3,,66.5,eui-b827ebfffed73719,2021-10-05T23:20:30.923935320Z,-121,-11.2,12,,-1,0,0
puhatu-v3,1.6335E+18,10.45670414,13.01695442,3.827,-121,,puhatu-c2v3,,30,eui-b827ebfffed73719,2021-10-06T06:24:25.650476760Z,-121,-19.5,12,,-1,0,-11.45670414
puhatu-v3,1.63363E+18,-1,0,4.032,-120,,puhatu-c2v3,,66.6,eui-b827ebfffed73719,2021-10-07T16:48:45.157789163Z,-120,-15,12,,-1,0,0
puhatu-v3,1.63384E+18,-1,0,4.023,-121,,puhatu-c2v3,,66.3,eui-b827ebfffed73719,2021-10-10T04:25:08.211758683Z,-121,-11.5,12,,-1,0,0
puhatu-v3,1.63406E+18,-1,0,4.03,-123,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-10-12T16:10:53.592844247Z,-123,-13.5,12,,-1,0,0
puhatu-v3,1.63418E+18,-1,0,4.018,-121,,puhatu-c2v3,,66.9,eui-b827ebfffed73719,2021-10-14T03:52:16.649604195Z,-121,-19.5,12,,-1,0,0
puhatu-v3,1.63427E+18,-1,0,4.019,-121,,puhatu-c2v3,,30.7,eui-b827ebfffed73719,2021-10-15T03:45:16.399805Z,-121,-15.5,12,,-1,0,0
puhatu-v3,1.6344E+18,-1,0,4.042,-121,,puhatu-c2v3,,66.5,eui-b827ebfffed73719,2021-10-16T15:32:16.982911671Z,-121,-13.8,12,,-1,0,0
puhatu-v3,1.63453E+18,-1,0,4.089,-120,,puhatu-c2v3,,30.7,eui-b827ebfffed73719,2021-10-18T03:16:20.548885234Z,-120,-18.2,12,,-1,0,0
puhatu-v3,1.63468E+18,-1,0,4.091,-119,,puhatu-c2v3,,66.6,eui-b827ebfffed73719,2021-10-19T22:58:17.236053299Z,-119,-12.8,12,,-1,0,0
puhatu-v3,1.63478E+18,-1,0,4.087,-120,,puhatu-c2v3,,30.9,eui-b827ebfffed73719,2021-10-21T02:50:29.010083079Z,-120,-13.8,12,,-1,0,0
puhatu-v3,1.63481E+18,-1,0,3.771,-124,,puhatu-c2v3,,30.7,eui-b827ebfffed73719,2021-10-21T10:47:43.621888866Z,-124,-12.8,12,,-1,0,0
puhatu-v3,1.63483E+18,-1,0,4.076,-121,,puhatu-c2v3,,30.7,eui-b827ebfffed73719,2021-10-21T14:45:49.531427761Z,-121,-15.2,12,,-1,0,0
puhatu-v3,1.63496E+18,-1,0,4.054,-119,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-10-23T02:28:35.331192362Z,-119,-20,12,,-1,0,0
puhatu-v3,1.63503E+18,-1,0,4.041,-121,,puhatu-c2v3,,30.8,eui-b827ebfffed73719,2021-10-23T22:19:52.068504346Z,-121,-19.8,12,,-1,0,0
puhatu-v3,1.63504E+18,-1,0,4.041,-120,,puhatu-c2v3,,30.7,eui-b827ebfffed73719,2021-10-24T02:18:09.154666060Z,-120,-19.2,12,,-1,0,0
puhatu-v3,1.63507E+18,-1,0,3.682,-121,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-10-24T10:17:14.553755126Z,-121,-14.8,12,,-1,0,0
puhatu-v3,1.63511E+18,-1,0,4.058,-120,,puhatu-c2v3,,66.5,eui-b827ebfffed73719,2021-10-24T22:11:10.394947017Z,-120,-20,12,,-1,0,0
puhatu-v3,1.63513E+18,-1,0,4.057,-121,,puhatu-c2v3,,66.7,eui-b827ebfffed73719,2021-10-25T02:10:04.640989855Z,-121,-14,12,,-1,0,0
puhatu-v3,1.63516E+18,-1,0,3.735,-122,,puhatu-c2v3,,66.9,eui-b827ebfffed73719,2021-10-25T10:09:29.417742563Z,-122,-10,12,,-1,0,0
puhatu-v3,1.6352E+18,-1,0,4.092,-121,,puhatu-c2v3,,66.5,eui-b827ebfffed73719,2021-10-25T22:01:33.262453155Z,-121,-12.5,12,,-1,0,0
puhatu-v3,1.63521E+18,-1,0,4.091,-120,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-10-26T01:59:58.377829541Z,-120,-13.2,12,,-1,0,0
puhatu-v3,1.63524E+18,-1,0,4.09,-120,,puhatu-c2v3,,66.4,eui-b827ebfffed73719,2021-10-26T09:57:14.346152630Z,-120,-9,12,,-1,0,0
puhatu-v3,1.63534E+18,-1,0,4.068,-121,,puhatu-c2v3,,30.5,eui-b827ebfffed73719,2021-10-27T13:46:23.035502084Z,-121,-13,12,,-1,0,0
puhatu-v3,1.63541E+18,-1,0,3.699,-122,,puhatu-c2v3,,67.2,eui-b827ebfffed73719,2021-10-28T09:38:26.774981734Z,-122,-13,12,,-1,0,0
puhatu-v3,1.63543E+18,-1,0,3.783,-121,,puhatu-c2v3,,30.9,eui-b827ebfffed73719,2021-10-28T13:35:34.978049451Z,-121,-12.2,12,,-1,0,0
puhatu-v3,1.63551E+18,-1,0,3.696,-120,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-10-29T13:26:47.330376238Z,-120,-19.2,12,,-1,0,0
puhatu-v3,1.63554E+18,-1,0,4.058,-121,,puhatu-c2v3,,66.5,eui-b827ebfffed73719,2021-10-29T21:22:00.484697488Z,-121,-15,12,,-1,0,0
puhatu-v3,1.63559E+18,-1,0,3.687,-121,,puhatu-c2v3,,30.6,eui-b827ebfffed73719,2021-10-30T09:17:18.744857502Z,-121,-10.5,12,,-1,0,0
puhatu-v3,1.6356E+18,-1,0,3.712,-119,,puhatu-c2v3,,30.9,eui-b827ebfffed73719,2021-10-30T13:17:27.558607003Z,-119,-11.5,12,,-1,0,0
puhatu-v3,1.63561E+18,-1,0,4.074,-123,,puhatu-c2v3,,30.7,eui-b827ebfffed73719,2021-10-30T17:11:17.499634981Z,-123,-11,12,,-1,0,0
puhatu-v3,1.63564E+18,-1,0,4.073,-121,,puhatu-c2v3,,31.1,eui-b827ebfffed73719,2021-10-31T01:09:31.927032925Z,-121,-12.8,12,,-1,0,0
puhatu-v3,1.63567E+18,-1,0,4.644,-121,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-10-31T09:09:36.177313619Z,-121,-8,12,,-1,0,0
puhatu-v3,1.63571E+18,-1,0,4.093,-123,,puhatu-c2v3,,66.3,eui-b827ebfffed73719,2021-10-31T21:02:48.383185781Z,-123,-13.8,12,,-1,0,0
puhatu-v3,1.63573E+18,-1,0,4.095,-121,,puhatu-c2v3,,66.3,eui-b827ebfffed73719,2021-11-01T01:01:49.278225954Z,-121,-9,12,,-1,0,0
puhatu-v3,1.63574E+18,-1,0,4.094,-120,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-11-01T05:00:08.890052957Z,-120,-12,12,,-1,0,0
puhatu-v3,1.63579E+18,-1,0,4.086,-121,,puhatu-c2v3,,66.4,eui-b827ebfffed73719,2021-11-01T16:53:38.626173738Z,-121,-11,12,,-1,0,0
puhatu-v3,1.63581E+18,-1,0,4.082,-123,,puhatu-c2v3,,66.7,eui-b827ebfffed73719,2021-11-02T00:49:34.575383524Z,-123,-15.8,12,,-1,0,0
puhatu-v3,1.63583E+18,-1,0,4.08,-121,,puhatu-c2v3,,66.2,eui-b827ebfffed73719,2021-11-02T04:46:57.163211363Z,-121,-20.2,12,,-1,0,0
puhatu-v3,1.63587E+18,10.29576969,0.383722395,4.095,-121,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-11-02T16:42:52.786336279Z,-121,-12.2,12,,-1,0,-11.29576969
puhatu-v3,1.63587E+18,-1,0,4.094,-121,,puhatu-c2v3,,66,eui-b827ebfffed73719,2021-11-02T17:23:38.075803834Z,-121,-18.8,12,,-1,0,0
puhatu-v3,1.63595E+18,-1,0,4.092,-121,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-11-03T13:17:00.614875412Z,-121,-11.2,12,,-1,0,0
puhatu-v3,1.63596E+18,-1,0,4.091,-121,,puhatu-c2v3,,66.3,eui-b827ebfffed73719,2021-11-03T17:16:04.520053255Z,-121,-10.2,12,,-1,0,0
puhatu-v3,1.63602E+18,10.28371048,12.48035908,4.644,-123,,puhatu-c2v3,,66.2,eui-b827ebfffed73719,2021-11-04T09:46:34.464936549Z,-123,-11.5,12,,-1,0,-11.28371048
puhatu-v3,1.63602E+18,-1,0,3.754,-122,,puhatu-c2v3,,30.1,eui-b827ebfffed73719,2021-11-04T11:00:19.989621081Z,-122,-16,12,,11.41198826,8.396248817,12.41198826
puhatu-v3,1.63603E+18,10.30340195,8.38361454,3.815,-121,,puhatu-c2v3,,30.1,eui-b827ebfffed73719,2021-11-04T12:50:43.774811689Z,-121,-14.8,12,,11.41880226,8.39226532,1.115400314
puhatu-v3,1.63605E+18,-1,0,4.065,-123,,puhatu-c2v3,,66.6,eui-b827ebfffed73719,2021-11-04T17:29:18.616422227Z,-123,-19.8,12,,-1,0,0
puhatu-v3,1.63606E+18,-1,0,4.062,-120,,puhatu-c2v3,,66.6,eui-b827ebfffed73719,2021-11-04T21:33:03.651117698Z,-120,-14.5,12,,-1,0,0
puhatu-v3,1.63615E+18,-1,0,4.05,-121,,puhatu-c2v3,,66.7,eui-b827ebfffed73719,2021-11-05T21:27:53.792756227Z,-121,-14.2,12,,-1,0,0
puhatu-v3,1.63618E+18,-1,0,4.047,-121,,puhatu-c2v3,,66.7,eui-b827ebfffed73719,2021-11-06T05:24:06.749677002Z,-121,-18.2,12,,-1,0,0
puhatu-v3,1.6362E+18,-1,0,4.044,-119,,puhatu-c2v3,,66.8,eui-b827ebfffed73719,2021-11-06T13:21:26.105227038Z,-119,-9.5,12,,-1,0,0
